t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
720.0,8,35,0,24,251922,496000,0.875,0.5079072580645161
730.0,8,35,0,15,236822,496000,0.875,0.47746370967741936
740.0,8,24,0,17,216605,496000,0.875,0.43670362903225807
750.0,8,20,0,15,191030,496000,0.875,0.38514112903225806
760.0,8,18,0,12,168052,496000,0.625,0.33881451612903224
770.0,8,16,0,10,161488,496000,0.875,0.3255806451612903
780.0,8,11,0,10,140707,496000,0.75,0.2836834677419355
790.0,8,9,0,6,108501,496000,0.5,0.21875201612903225
800.0,8,11,0,4,110817,496000,0.625,0.22342137096774192
810.0,8,8,0,3,68969,496000,0.375,0.13905040322580645
820.0,8,7,0,4,71927,496000,0.5,0.1450141129032258
830.0,8,7,0,1,38326,496000,0.375,0.07727016129032258
840.0,8,6,0,0,49326,496000,0.375,0.0994475806451613
850.0,8,6,0,1,43957,496000,0.625,0.08862298387096774
860.0,8,24,0,3,88798,496000,1.0,0.1790282258064516
870.0,8,48,0,20,196258,496000,1.0,0.39568145161290325
880.0,8,45,0,30,237927,496000,1.0,0.4796915322580645
890.0,8,44,0,34,258603,496000,1.0,0.5213770161290323
900.0,8,46,0,37,269532,496000,1.0,0.5434112903225806
910.0,8,45,0,43,293956,496000,1.0,0.5926532258064516
920.0,8,51,0,49,348426,496000,1.0,0.7024717741935483
930.0,8,65,0,45,379418,496000,1.0,0.7649556451612903
940.0,8,54,0,50,367173,496000,1.0,0.7402681451612904
950.0,8,46,0,53,376820,496000,1.0,0.7597177419354839
960.0,8,42,0,49,362747,496000,1.0,0.7313447580645162
970.0,8,39,0,44,339027,496000,1.0,0.6835221774193548
980.0,8,36,0,38,324765,496000,0.875,0.6547681451612903
990.0,8,36,0,30,305803,496000,0.875,0.6165383064516129
1000.0,8,32,0,23,276449,496000,1.0,0.5573568548387097
1010.0,8,26,0,19,235872,496000,0.875,0.4755483870967742
1020.0,8,18,0,20,199709,496000,1.0,0.4026391129032258
1030.0,8,14,0,18,182504,496000,0.625,0.3679516129032258
1040.0,8,13,0,11,150831,496000,0.625,0.30409475806451614
1050.0,8,8,0,12,139996,496000,0.75,0.28225
1060.0,8,8,0,8,137051,496000,0.75,0.2763125
1070.0,8,6,0,7,112374,496000,0.5,0.22656048387096775
1080.0,8,7,0,5,88052,496000,0.625,0.1775241935483871
1090.0,8,13,0,7,106743,496000,1.0,0.2152076612903226
1100.0,8,17,0,11,102683,496000,1.0,0.20702217741935483
1110.0,8,22,0,15,117481,496000,1.0,0.2368568548387097
1120.0,8,20,0,21,133085,496000,0.875,0.2683165322580645
1130.0,8,21,0,20,120725,496000,1.0,0.24339717741935485
1140.0,8,27,0,27,170283,496000,1.0,0.3433125
1150.0,8,25,0,32,183322,496000,1.0,0.3696008064516129
1160.0,8,21,0,35,194539,496000,0.875,0.3922157258064516
1170.0,8,12,0,40,189022,496000,0.75,0.38109274193548387
1180.0,8,30,0,25,213650,496000,1.0,0.43074596774193546
1190.0,8,31,0,30,237470,496000,1.0,0.47877016129032257
1200.0,8,38,0,30,263239,496000,1.0,0.5307237903225807
1210.0,8,35,0,35,262739,496000,1.0,0.5297157258064517
1220.0,8,41,0,31,291881,496000,1.0,0.5884697580645162
1230.0,8,33,0,35,286189,496000,1.0,0.5769939516129032
1240.0,8,25,0,35,234631,496000,1.0,0.47304637096774194
1250.0,8,19,0,38,242505,496000,1.0,0.4889213709677419
1260.0,8,23,0,28,201054,496000,0.875,0.4053508064516129
1270.0,8,17,0,28,187578,496000,0.875,0.37818145161290323
1280.0,8,19,0,17,178684,496000,0.875,0.36025
1290.0,8,20,0,19,210965,496000,0.875,0.4253326612903226
1300.0,8,17,0,18,204524,496000,1.0,0.41234677419354837
1310.0,8,14,0,16,184873,496000,0.875,0.3727278225806452
1320.0,8,4,0,21,147370,496000,0.5,0.29711693548387097
1330.0,8,10,0,10,113445,496000,0.875,0.22871975806451614
1340.0,8,9,0,13,93645,496000,0.75,0.18880040322580646
1350.0,8,16,0,12,135245,496000,1.0,0.2726713709677419
1360.0,8,16,0,16,150491,496000,1.0,0.3034092741935484
1370.0,8,17,0,18,158676,496000,1.0,0.31991129032258064
1380.0,8,26,0,21,199890,496000,1.0,0.4030040322580645
1390.0,8,30,0,20,210554,496000,1.0,0.4245040322580645
