policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,static_ref_n,static_ref_gpu_s,gpu_vs_static,meets_slo
hpa-gpu,4,0.0,1872,1676,4.0,21.125,2.3476315328416897,0.0,0.0,7.5,0.0,6704,1.0,27879.5,78189,6125032,0.012765484327265555,4,0,4,0,5897,18,7,13.30763723150358,18,0,1.0,5,10477.5,2.6608923884514435,True
keda-queue,4,0.0,1872,1676,7.5,37.0,6.2494394998930805,0.002312052505966587,0.0,16.985000000000127,15.5,6704,0.8268198090692124,7390.0,110884,6157727,0.018007293925177262,2,0,2,0,10501,7,5,3.5232419547079856,11,0,1.0,5,10477.5,0.7053209257933667,False
kv-util,4,0.0,1872,1676,7.5,38.5,6.454322952305289,0.006488663484486874,0.5,17.985000000000127,43.5,6704,0.741945107398568,5841.0,125362,6172205,0.020310731740115568,3,0,3,0,6406,9,4,2.7847437425506554,5,0,1.0,5,10477.5,0.5574803149606299,False
predictive,4,0.0,1872,1676,19.0,79.25,57.74753069114496,1.8773866348448687,19.5,26.485000000000127,12586.0,6704,0.33323389021479716,3013.0,818865,6865708,0.11926883578503485,7,0,7,0,12520,42,19,1.4316939890710383,8,0,1.0,5,10477.5,0.287568599379623,False
rl-qlearn,4,0.0,1872,1676,8.5,61.25,30.628116300092636,0.6604266109785203,8.5,19.5,4427.5,6704,0.7268794749403341,5444.0,410904,6457747,0.06362962190993236,10,0,10,0,25797,84,43,2.595470798569726,6,0,1.0,5,10477.5,0.5195895967549511,False
rl-qlearn+parked,4,0.0,1872,1676,8.5,61.25,30.628116300092636,0.6604266109785203,8.5,19.5,4427.5,6704,0.7268794749403341,5444.0,410904,6457747,0.06362962190993236,10,0,10,0,25797,84,43,2.595470798569726,6,0,1.0,5,10477.5,0.5195895967549511,False
park-aware,4,0.0,1872,1676,14.0,70.0,52.53929952960251,1.3991646778042959,19.5,22.5,9380.0,6704,0.4806085918854415,4195.0,602381,6649224,0.09059418061415889,0,0,0,0,0,35,16,1.9938212927756653,8,0,1.0,5,10477.5,0.4003817704605106,False
pressure-aware,4,0.0,1872,1676,4.5,24.25,2.8164221796480478,0.01655727923627685,0.5,9.0,111.0,6704,0.9935859188544153,17532.5,501880,6548723,0.07663784221748271,8,0,8,0,26380,16,8,8.366738248628012,21,0,1.0,5,10477.5,1.6733476497256026,True
static-4,4,8.0,1872,1676,25.5,87.5,2.756662484459248,0.0,0.0,9.485000000000127,0.0,6704,0.9968675417661098,8706.0,175589,6231128,0.028179328044617282,235,235,0,175589,0,0,0,4.0,4,0,1.0,4,8706.0,1.0,True
hpa-gpu,4,8.0,1872,1676,24.5,86.125,1.6904753960971666,0.0,0.0,7.5,0.0,6704,1.0,20286.5,1255307,7310846,0.17170475209025057,665,554,111,984046,271261,25,11,9.32069836894096,13,0,1.0,4,8706.0,2.33017459223524,True
keda-queue,4,8.0,1872,1676,31.0,112.625,33.78252620717708,0.98993138424821,19.5,22.5,6636.5,6704,0.7925119331742243,16454.5,3877303,9932842,0.3903518247848904,2076,1922,154,3540489,336814,24,14,7.546204998853474,19,0,1.0,4,8706.0,1.8900183781300253,False
kv-util,4,8.0,1872,1676,32.0,118.0,37.65303903749403,1.4527147971360381,19.5,23.0,9739.0,6704,0.7456742243436754,7944.5,4669786,10725325,0.43539808816982234,2319,2234,85,4498401,171385,23,12,3.6492880110243453,8,0,1.0,4,8706.0,0.912531587410981,False
predictive,4,8.0,1872,1676,47.5,116.25,36.92489669573471,1.7857249403341289,19.5,28.5,11971.5,6704,0.45704057279236276,3512.5,8132874,14188413,0.5732053331123079,4452,4336,116,7779796,353078,46,22,1.6097616865261228,7,0,1.0,4,8706.0,0.4034573857110039,False
rl-qlearn,4,8.0,1872,1676,26.0,86.625,3.0114643823239975,0.0,0.0,10.0,0.0,6704,0.9892601431980907,8553.0,1153093,7208632,0.1599600312514219,572,337,235,489197,663896,98,45,3.927898966704937,9,0,1.0,4,8706.0,0.9824259131633356,True
