policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,slo_per_gpu_ratio,queue_delta_s_vs_hpa,recompute_saved_vs_hpa,gpu_saved_pct_vs_hpa,slo_delta_vs_hpa,completed_delta_vs_hpa
park-aware,64,8.0,234,202,668.5,1184.475,2.134462204401526,0.0,0.0,19.0,0.0,12928,1.0,28415.0,88986001,94563500,0.9410184796459522,10494,10359,135,89426099,1180146,88,45,9.762927332073527,19,0,1.0,2,6,19515.0,1.4560594414552908,0.6867851486890727,0.0,4858152,0.027666090646226493,0.003790222772277252,0
predictive,64,8.0,234,202,797.0,1523.0950000000012,4.160309009695906,0.0061494430693069,0.0,24.36499999999978,79.5,12928,0.9839108910891088,23781.0,127293563,133271618,0.9551438251466264,13116,12926,190,127759734,1565832,147,73,7.430401499765661,15,0,1.0,2,6,19515.0,1.2186010760953112,0.8074101610362878,79.5,-33449410,0.18623710370078872,-0.012298886138613963,0
pressure-aware,64,8.0,234,202,543.25,689.455,1.271562223944009,0.0285426980198019,0.0,8.0,369.0,12928,0.9975247524752476,30252.5,2604601,6599367,0.3946743680113562,17,0,17,0,184221,28,12,11.223335188276758,14,0,1.0,2,6,19515.0,1.5502177811939533,0.6434739457748767,369.0,91239552,-0.035211388095197416,0.0013149752475248855,0
rl-qlearn,64,8.0,234,202,1174.5,2385.9700000000003,5.943804505889506,0.0,0.0,51.5,0.0,12928,0.5048731435643564,18320.5,145945496,151929586,0.960612740694232,13266,13147,119,147423600,558060,131,66,5.757542426147078,12,0,1.0,2,6,19515.0,0.9387906738406354,0.5377909662213595,0.0,-52101343,0.3730901500504731,-0.49133663366336633,0
rl-qlearn+parked,64,8.0,234,202,1240.0,2477.8250000000003,5.944590880277523,0.0006188118811881,0.0,51.5,8.0,12928,0.4214108910891089,18591.0,149992789,156013307,0.961410227654491,13366,13217,149,151229812,805238,129,62,5.250953255189945,13,0,1.0,2,6,19515.0,0.952651806302844,0.4423556311981044,8.0,-56148636,0.36383390079901445,-0.5747988861386139,0
hpa-gpu,64,8.0,468,405,650.5,1302.5999999999997,3.589874692654867,0.0,0.0,21.0,0.0,25920,0.9689814814814814,56529.0,157298900,167813313,0.9373445836207286,18076,17904,172,158496206,1391119,67,32,19.2603066439523,35,0,1.0,4,12,39762.0,1.4216840199185152,0.6815730274136579,0.0,0,0.0,0.0,0
keda-queue,64,8.0,468,383,1565.5,3300.1200000000003,9.266759971565795,0.1696972046679331,3.5,66.0,4377.0,25920,0.0980324074074074,26611.5,320489813,332699806,0.96330027015405,28336,28324,12,324619417,347040,11,5,6.70061689537958,8,127,0.945679012345679,4,12,39762.0,0.6692696544439415,0.146476695538896,4377.0,-163190913,0.5292416281908401,-0.8709490740740741,-22
kv-util,64,8.0,468,405,659.5,1284.62,2.597673669457316,0.0,0.0,20.5,0.0,25920,0.9994212962962964,54506.0,161208832,171863535,0.938004865313634,19577,19429,148,162704816,1238347,77,39,18.16261246251249,31,0,1.0,4,12,39762.0,1.3708062974699462,0.7290755069778251,0.0,-3909932,0.035786941216013,0.030439814814814947,0
park-aware,64,8.0,468,405,682.5,1079.64,2.316395357928013,0.0,0.0,17.5,0.0,25920,0.9999228395061728,50229.5,166900168,177862304,0.9383672888888248,22727,22517,210,167625624,2318601,87,40,16.920835438773793,33,0,1.0,4,12,39762.0,1.2632538604697954,0.7915454452949849,0.0,-9601268,0.11143837676236978,0.030941358024691334,0
predictive,64,8.0,468,405,791.0,1387.7199999999996,2.6636619392253515,0.0026427469135802,0.0,22.5,68.5,25920,0.999074074074074,45117.5,250800043,262714147,0.954649933640612,26677,26308,369,251809785,3011462,166,81,13.688561893203884,27,0,1.0,4,12,39762.0,1.1346888989487451,0.8804828133946546,68.5,-93501143,0.20186983672097503,0.03009259259259256,0
